scheme,input,n,reference,max_dev,spread,n_gt_1e9,n_gt_1e6,n_gt_1e3,n_gt_1,n_unresolved_or_timeout,s_per_eval,fresh_vs_fresh,first_value,statuses_vary
A,run2:462,50,-15.483895845683447,4.236830156045812e-06,4.238218460628218e-06,2,1,0,0,0,2.0013706254959107,0.0,-15.483895845683447,False
A,run2:319,50,-15.934501164617735,1.080434763878202e-06,1.7907973131059407e-06,50,11,0,0,0,1.9610438537597656,0.0,-15.934501867328734,False
A,prior17401:draw3:feasible,50,-60.22209337253369,5.570583994085609e-10,8.938414453041332e-10,0,0,0,0,0,1.9473094749450683,0.0,-60.222093372617124,False
A,run3:791,50,-19.767136323766394,1.2802111277509027,1.280211146887332,43,2,2,2,0,2.0313027477264405,0.0,-19.767136342902823,False
A,run1:427,50,-13.492975429018045,1.8130918988390476e-10,3.504254664221662e-10,0,0,0,0,0,1.9540610885620118,0.0,-13.492975428968519,False
A,run2:149,50,-15.647546085384223,5.132162019805264e-06,5.131753162856967e-06,49,48,0,0,0,1.96115562915802,0.0,-15.64754731949544,False
A,run1:419,50,-12.62274139376662,8.670039086666748e-07,9.138463177293943e-07,46,0,0,0,0,1.981543688774109,0.0,-12.62274226077053,False
A,prior17401:draw12:infeasible,50,-inf,0.0,0.0,0,0,0,0,0,0.08781524181365967,0.0,-inf,False
A,run3:297,50,-19.767194346776236,1.2800148240351952,1.280014831739397,38,1,1,1,0,2.033079619407654,0.0,-19.767194337242763,False
A,run3:105,50,-19.76450434884545,5.360143617849644e-08,6.692123477591849e-08,42,0,0,0,0,2.043484172821045,0.0,-19.764504339909095,False
A,run1:286,50,-13.178341443614784,3.3473686045226714e-09,4.587903390529391e-09,16,0,0,0,0,2.0230244398117065,0.0,-13.17834144259576,False
A,run1:701,50,-12.607964741788031,9.147741106829699e-07,1.0349346464266773e-06,50,0,0,0,0,1.9408638906478881,0.0,-12.607964748262507,False
A,prior17401:draw2:feasible,50,-248.37832173437,1.8412436020298628e-09,2.7677913294610335e-09,3,0,0,0,0,1.875508885383606,0.0,-248.37832173346274,False
A,run1:27,50,-13.484938802198752,1.2100134227921444e-09,1.354569789668858e-09,2,0,0,0,0,1.973330135345459,0.0,-13.484938802054195,False
A,run3:654:crash,50,-19.760854155863385,6.859226076016967e-08,7.296176463000847e-08,44,0,0,0,0,2.042289514541626,0.0,-19.76085417640776,False
A,prior17401:draw5:infeasible,50,-inf,0.0,0.0,0,0,0,0,0,0.16774093627929687,0.0,-inf,False
A,run2:608,50,-15.78265383727421,2.951810422757717e-07,2.994322922944548e-07,32,0,0,0,0,1.9975556802749634,0.0,-15.782653822049289,False
A,run2:570,50,-15.680272702407292,8.131836892744104e-08,1.5509482942377417e-07,49,0,0,0,0,1.9010647535324097,0.0,-15.680272649000335,False
A,prior17401:draw1:feasible,50,-39.666294218092474,3.2372327041230164e-11,5.189804141991772e-11,0,0,0,0,0,1.795089406967163,0.0,-39.666294218078484,False
A,ELB:parsa_MAP,50,-23.124978206227333,1.5376252490420619,1.5376337212428055,36,36,14,12,0,1.8712434816360473,0.0,-23.124978206227333,False
A,ELB:prior17402:draw1,50,-230.42375262631492,1.815273726127657,1.8152737549041262,49,3,3,3,0,1.7377534008026123,0.0,-230.42375262946788,False
A,ELB:prior17402:draw2,50,-1859.2727796278668,6.323261914076284e-10,6.527898221975192e-10,0,0,0,0,0,1.6993571138381958,0.0,-1859.2727796280956,False
