rung,experiment,strain,param,required,permissive_preserved,permissive_growth,permissive_baseline,baseline_fail,note,species,fold_gap_vs_predicted_0.52C,fold_gap_vs_measured_1.6C
B0,transfer_candida,chaemulonii_draft,dTm,,,,,0.5884,cannot fall below 0.05 at 40.0 C within -35.0 C of dTm,haemulonii,,
B0,transfer_candida,chaemulonii_draft,dTopt,15.76,False,0.2059,0.7305,0.5884,,haemulonii,30.307692307692307,9.85
B0,transfer_candida,cduobushaemulonii_draft,dTm,32.44,False,0.1116,0.5537,0.4346,,duobushaemulonii,62.38461538461538,20.275
B0,transfer_candida,cduobushaemulonii_draft,dTopt,14.94,False,0.1803,0.5537,0.4346,,duobushaemulonii,28.73076923076923,9.337499999999999
B0,transfer_candida,cparapsilosis_iDC1003,dTm,32.64,False,0.1185,0.6717,0.5914,,parapsilosis,62.76923076923077,20.4
B0,transfer_candida,cparapsilosis_iDC1003,dTopt,15.62,False,0.2132,0.6717,0.5914,,parapsilosis,30.038461538461537,9.7625
B1,candida_B1_unfolding,chaemulonii_draft,dTm,13.5,True,0.566,0.5679,0.6885,,haemulonii,25.96153846153846,8.4375
B1,candida_B1_unfolding,chaemulonii_draft,dTopt,25.19,False,0.1317,0.5679,0.6885,,haemulonii,48.44230769230769,15.74375
B1,candida_B1_unfolding,cduobushaemulonii_draft,dTm,14.12,True,0.5531,0.5572,0.5411,,duobushaemulonii,27.15384615384615,8.825
B1,candida_B1_unfolding,cduobushaemulonii_draft,dTopt,23.75,False,0.1218,0.5572,0.5411,,duobushaemulonii,45.67307692307692,14.84375
B1,candida_B1_unfolding,cparapsilosis_iDC1003,dTm,13.77,True,0.731,0.737,0.7573,,parapsilosis,26.48076923076923,8.60625
B1,candida_B1_unfolding,cparapsilosis_iDC1003,dTopt,24.51,False,0.1462,0.737,0.7573,,parapsilosis,47.13461538461539,15.31875
B2,candida_B2_grounded_budget,chaemulonii_draft,dTm,13.5,True,0.5634,0.5655,0.6859,,haemulonii,25.96153846153846,8.4375
B2,candida_B2_grounded_budget,chaemulonii_draft,dTopt,23.75,False,0.148,0.5655,0.6859,,haemulonii,45.67307692307692,14.84375
B2,candida_B2_grounded_budget,cduobushaemulonii_draft,dTm,14.12,True,0.5508,0.5552,0.5371,,duobushaemulonii,27.15384615384615,8.825
B2,candida_B2_grounded_budget,cduobushaemulonii_draft,dTopt,22.46,False,0.1337,0.5552,0.5371,,duobushaemulonii,43.19230769230769,14.0375
B2,candida_B2_grounded_budget,cparapsilosis_iDC1003,dTm,13.71,True,0.6462,0.6516,0.6875,,parapsilosis,26.365384615384617,8.56875
B2,candida_B2_grounded_budget,cparapsilosis_iDC1003,dTopt,20.68,False,0.1924,0.6516,0.6875,,parapsilosis,39.76923076923077,12.924999999999999
B3,candida_B3_ngamT,chaemulonii_draft,dTm,13.5,True,0.5665,0.5686,0.684,,haemulonii,25.96153846153846,8.4375
B3,candida_B3_ngamT,chaemulonii_draft,dTopt,23.07,False,0.1623,0.5686,0.684,,haemulonii,44.36538461538461,14.41875
B3,candida_B3_ngamT,cduobushaemulonii_draft,dTm,14.05,True,0.5539,0.5581,0.5353,,duobushaemulonii,27.01923076923077,8.78125
B3,candida_B3_ngamT,cduobushaemulonii_draft,dTopt,21.84,False,0.1442,0.5581,0.5353,,duobushaemulonii,42.0,13.649999999999999
B3,candida_B3_ngamT,cparapsilosis_iDC1003,dTm,13.64,True,0.6244,0.6295,0.6368,,parapsilosis,26.23076923076923,8.525
B3,candida_B3_ngamT,cparapsilosis_iDC1003,dTopt,19.11,False,0.2313,0.6295,0.6368,,parapsilosis,36.75,11.94375
B4,candida_B4_sectors,chaemulonii_draft,dTm,13.57,True,0.5359,0.5359,0.5359,,haemulonii,26.096153846153847,8.48125
B4,candida_B4_sectors,chaemulonii_draft,dTopt,24.37,False,0.1943,0.5359,0.5359,,haemulonii,46.86538461538461,15.23125
B4,candida_B4_sectors,cduobushaemulonii_draft,dTm,14.18,True,0.7177,0.7177,0.7177,,duobushaemulonii,27.269230769230766,8.862499999999999
B4,candida_B4_sectors,cduobushaemulonii_draft,dTopt,23.34,False,0.1704,0.7177,0.7177,,duobushaemulonii,44.88461538461538,14.587499999999999
B4,candida_B4_sectors,cparapsilosis_iDC1003,dTm,13.77,True,0.7609,0.7609,0.7609,,parapsilosis,26.48076923076923,8.60625
B4,candida_B4_sectors,cparapsilosis_iDC1003,dTopt,19.86,False,0.3048,0.7609,0.7609,,parapsilosis,38.19230769230769,12.4125
B1s,candida_B1s_fit_dTm,chaemulonii_draft,dTm,13.5,True,0.5678,0.5697,0.6907,,haemulonii,25.96153846153846,8.4375
B1s,candida_B1s_fit_dTm,chaemulonii_draft,dTopt,25.12,False,0.1335,0.5696,0.6822,,haemulonii,48.30769230769231,15.7
B1s,candida_B1s_fit_dTm,cduobushaemulonii_draft,dTm,14.12,True,0.5549,0.5589,0.5428,,duobushaemulonii,27.15384615384615,8.825
B1s,candida_B1s_fit_dTm,cduobushaemulonii_draft,dTopt,23.69,False,0.1233,0.5586,0.5351,,duobushaemulonii,45.55769230769231,14.80625
B1s,candida_B1s_fit_dTm,cparapsilosis_iDC1003,dTm,13.77,True,0.7333,0.7393,0.7597,,parapsilosis,26.48076923076923,8.60625
B1s,candida_B1s_fit_dTm,cparapsilosis_iDC1003,dTopt,24.44,False,0.1483,0.739,0.7325,,parapsilosis,47.0,15.275
B0u,transfer_candida_unpinned,chaemulonii_draft,dTm,,,,,0.5884,cannot fall below 0.05 at 40.0 C within -35.0 C of dTm,haemulonii,,
B0u,transfer_candida_unpinned,chaemulonii_draft,dTopt,15.76,False,0.2059,0.7305,0.5884,,haemulonii,30.307692307692307,9.85
B0u,transfer_candida_unpinned,cduobushaemulonii_draft,dTm,32.44,False,0.1116,0.5537,0.4346,,duobushaemulonii,62.38461538461538,20.275
B0u,transfer_candida_unpinned,cduobushaemulonii_draft,dTopt,14.94,False,0.1803,0.5537,0.4346,,duobushaemulonii,28.73076923076923,9.337499999999999
B0u,transfer_candida_unpinned,cparapsilosis_iDC1003,dTm,,,,,0.6662,cannot fall below 0.05 at 40.0 C within -35.0 C of dTm,parapsilosis,,
B0u,transfer_candida_unpinned,cparapsilosis_iDC1003,dTopt,17.67,False,0.1892,0.7861,0.6662,,parapsilosis,33.98076923076923,11.043750000000001
